Número;Pokémon;Habilidade A;Habilidade B;Altas Habilidades A;Altas Habilidades B;Altas Habilidades C
1;Bulbassauro;Clorofila;-;Presente das Flores;-;-
2;Ivyssauro;Clorofila;-;Presente das Flores;-;-
3;Venussauro;Clorofila;-;Presente das Flores;-;-
4;Charmander;Poder Solar;-;Intimidar;-;-
5;Charmeleon;Poder Solar;-;Intimidar;-;-
6;Charizard;Poder Solar;-;Intimidar;-;-
7;Squirtle;Prato de Chuva;-;Franco-Atirador;-;-
8;Wartortle;Prato de Chuva;-;Franco-Atirador;-;-
9;Blastoise;Prato de Chuva;-;Franco-Atirador;-;-
10;Caterpie;Polvilhar;-;Fuga;-;-
11;Metapod;Polvilhar;-;Troca de Pele;-;-
12;Butterfree;Polvilhar;-;Olhos Compostos;Olhos Cromados;-
13;Weedle;Polvilhar;-;Fuga;-;-
14;Kakuna;Polvilhar;-;Troca de Pele;-;-
15;Beedrill;Polvilhar;-;Franco-Atirador;Hipercorte;-
16;Pidgey;Pés Lançados;Visão Aguçada;Bicudo;-;-
17;Pidgeotto;Pés Lançados;Visão Aguçada;Bicudo;-;-
18;Pidgeot;Pés Lançados;Visão Aguçada;Bicudo;-;-
19;Rattata;Fuga;Tenacidade;Entusiasmo;-;-
19;Rattata de Alola;Gula;Tenacidade;Gordura;-;-
20;Raticate;Fuga;Tenacidade;Entusiasmo;-;-
20;Raticate de Alola;Gula;Tenacidade;Gordura;-;-
21;Spearow;Visão Aguçada;-;Franco-Atirador;-;-
22;Fearow;Visão Aguçada;-;Franco-Atirador;-;-
23;Ekans;Intimidar;Troca de Pele;Tensão;-;-
24;Arbok;Intimidar;Troca de Pele;Tensão;-;-
25;Pikachu;Eletricidade Estática;-;Pararraios;-;-
26;Raichu;Eletricidade Estática;-;Pararraios;-;-
26;Raichu de Alola;Eletricidade Estática;-;Surfista;-;-
27;Sandshrew;Manto de Areia;-;Velocidade na Areia;-;-
27;Sandshrew de Alola;Manto de Neve;-;Velocidade na Neve;-;-
28;Sandslash;Manto de Areia;-;Velocidade na Areia;-;-
28;Sandslash de Alola;Manto de Neve;-;Velocidade na Neve;-;-
29;Nidoran♀;Espículas Venenosas;Rivalidade;Entusiasmo;-;-
30;Nidorina;Espículas Venenosas;Rivalidade;Entusiasmo;-;-
31;Nidoqueen;Espículas Venenosas;Rivalidade;Força Bruta;-;-
32;Nidoran♂;Espículas Venenosas;Rivalidade;Entusiasmo;-;-
33;Nidorino;Espículas Venenosas;Rivalidade;Entusiasmo;-;-
34;Nidoking;Espículas Venenosas;Rivalidade;Força Bruta;-;-
35;Clefairy;Proteção Mágica;Tentação;Companheirismo;-;-
36;Clefable;Proteção Mágica;Tentação;Desatenção;-;-
37;Vulpix;Absorção de Chamas;-;Seca;-;-
37;Vulpix de Alola;Manto de Neve;-;Convocar Neve;-;-
38;Ninetales;Absorção de Chamas;-;Seca;-;-
38;Ninetales de Alola;Manto de Neve;-;Convocar Neve;-;-
39;Jigglypuff;Competição;Tentação;Companheirismo;-;-
40;Wigglytuff;Competição;Tentação;Bisbilhoteiro;-;-
41;Zubat;Foco Interior;-;Infiltrador;-;-
42;Golbat;Foco Interior;-;Infiltrador;-;-
43;Oddish;Clorofila;-;Fuga;-;-
44;Gloom;Clorofila;-;Fedor;-;-
45;Vileplume;Clorofila;-;Esporulação;-;-
46;Paras;Esporulação;Ressecado;Umidade;-;-
47;Parasect;Esporulação;Ressecado;Umidade;-;-
48;Venonat;Olhos Compostos;Olhos Cromados;Fuga;-;-
49;Venomoth;Olhos Compostos;Olhos Cromados;Pele Perfeita;Polvilhar;-
50;Diglett;Arena de Areia;Manto de Areia;Arenoso;-;-
50;Diglett de Alola;Desgrenhado;Manto de Areia;Arenoso;-;-
51;Dugtrio;Arena de Areia;Manto de Areia;Arenoso;-;-
51;Dugtrio de Alola;Desgrenhado;Manto de Areia;Arenoso;-;-
52;Meowth;Catagem;Técnica;Tensão;-;-
52;Meowth de Alola;Catagem;Técnica;Covardia;-;-
53;Persian;Catagem;Técnica;Elasticidade;Tensão;-
53;Persian de Alola;Catagem;Técnica;Covardia;Peludo;-
54;Psyduck;Aclimatação;Umidade;Velocidade na Água;-;-
55;Golduck;Aclimatação;Umidade;Velocidade na Água;-;-
56;Mankey;Espírito Vigoroso;Frenesi;Agonista;-;-
57;Primeape;Espírito Vigoroso;Frenesi;Agonista;-;-
58;Growlithe;Absorção de Chamas;Intimidar;Justiceiro;-;-
59;Arcanine;Absorção de Chamas;Intimidar;Justiceiro;-;-
60;Poliwag;Absorção de Água;Umidade;Velocidade na Água;-;-
61;Poliwhirl;Absorção de Água;Umidade;Velocidade na Água;-;-
62;Poliwrath;Absorção de Água;Umidade;Velocidade na Água;-;-
63;Abra;Foco Interior;Sincronizar;Proteção Mágica;-;-
64;Kadabra;Foco Interior;Sincronizar;Proteção Mágica;-;-
65;Alakazam;Foco Interior;Sincronizar;Proteção Mágica;-;-
66;Machop;Guarda Baixa;Tenacidade;Inabalável;-;-
67;Machoke;Guarda Baixa;Tenacidade;Inabalável;-;-
68;Machamp;Guarda Baixa;Tenacidade;Inabalável;-;-
69;Bellsprout;Clorofila;-;Gula;-;-
70;Weepinbell;Clorofila;-;Gula;-;-
71;Victreebel;Clorofila;-;Gula;-;-
72;Tentacool;Lodo;Transparência;Prato de Chuva;-;-
73;Tentacruel;Lodo;Transparência;Prato de Chuva;-;-
74;Geodude;Cabeça Dura;Robustez;Manto de Areia;-;-
74;Geodude de Alola;Ímã;Robustez;Galvanização;-;-
75;Graveler;Cabeça Dura;Robustez;Manto de Areia;-;-
75;Graveler de Alola;Ímã;Robustez;Galvanização;-;-
76;Golem;Cabeça Dura;Robustez;Manto de Areia;-;-
76;Golem de Alola;Ímã;Robustez;Galvanização;-;-
77;Ponyta;Absorção de Chamas;Fuga;Flamejante;-;-
78;Rapidash;Absorção de Chamas;Fuga;Flamejante;-;-
79;Slowpoke;Obtusidade;Ritmo Próprio;Regeneração;-;-
80;Slowbro;Obtusidade;Ritmo Próprio;Regeneração;-;-
81;Magnemite;Imã;Robustez;Análise;-;-
82;Magneton;Imã;Robustez;Análise;-;-
83;Farfetch'd;Foco Interior;Visão Aguçada;Agonista;-;-
84;Doduo;Fuga;Madrugar;Pés Laçados;-;-
85;Dodrio;Fuga;Madrugar;Pés Laçados;-;-
86;Seel;Gordura;Hidratação;Friorento;-;-
87;Dewgong;Gordura;Hidratação;Friorento;-;-
88;Grimer;Fedor;Viscosidade;Toque Tóxico;-;-
88;Grimer de Alola;Gula;Toque Tóxico;Alquimia;-;-
89;Muk;Fedor;Viscosidade;Toque Tóxico;-;-
89;Muk de Alola;Gula;Toque Tóxico;Alquimia;-;-
90;Shellder;Concha;Ligação;Carapaça;-;-
91;Cloyster;Concha;Ligação;Carapaça;-;-
92;Gastly;Levitação;-;-;-;-
93;Haunter;Levitação;-;-;-;-
94;Gengar;Levitação;-;Anátema;-;-
95;Onix;Cabeça Dura;Robustez;Fraqueza;-;-
96;Drowzee;Insônia;Premonição;Foco Interior;-;-
97;Hypno;Insônia;Premonição;Foco Interior;-;-
98;Krabby;Concha;Hipercorte;Força Bruta;-;-
99;Kingler;Concha;Hipercorte;Força Bruta;-;-
100;Voltorb;Cacofonia;Eletricidade Estática;Resquício;-;-
101;Electrode;Cacofonia;Eletricidade Estática;Resquício;-;-
102;Exeggcute;Clorofila;-;Colheita;-;-
103;Exeggutor;Clorofila;-;Colheita;-;-
103;Exeggutor de Alola;Clorofila;-;Bisbilhoteiro;Colheita;-
104;Cubone;Cabeça Dura;Pararraios;Armadura;-;-
105;Marowak;Cabeça Dura;Pararraios;Armadura;-;-
105;Marowak de Alola;Cabeça Dura;Pararraios;Anátema;-;-
106;Hitmonlee;Inabalável;Tenacidade;Leveza;Imprudência;-
107;Hitmonchan;Inabalável;Tenacidade;Foco Interior;Punho de Ferro;Visão Aguçada
108;Lickitung;Obtusidade;Ritmo Próprio;Aclimatação;-;-
109;Koffing;Levitação;-;-;-;-
110;Weezing;Levitação;-;-;-;-
